"","filename","Cohort","Monkey","Tissue2","Week","no.sites","no.syn.sites","no.ns.sites","mean","mean.syn","mean.ns","mutated.sites.no","mutated.sites","Granuloma","SIV.RNA.per.granuloma","SIV.RNA.per.tissue","CD4.percent","CD8.percent"
"1","Run_4_01_Animal_16314","Mtb R","16314","plasma",3,1171,586,585,0.00209425700535215,0.000671046628134812,0.00130133193133504,0,NA,NA,NA,NA,NA,NA
"2","Run_4_02_Animal_16314","Mtb R","16314","plasma",8,1171,586,585,0.00201041610220384,0.000676116275141638,0.00123868272503077,0,NA,NA,NA,NA,NA,NA
"3","Run_4_03_Animal_16314","Mtb R","16314","pLN",8,1171,586,585,0.00183372334944315,0.000584180600392491,0.00116890385376068,0,NA,"N",NA,13857658.34,NA,NA
"4","Run_4_04_Animal_16314","Mtb R","16314","Thoracic LN",8,1171,586,585,0.0020672220660933,0.000729006444522184,0.00126555922030598,0,NA,"N",NA,33089916.29,NA,NA
"5","Run_4_05_Animal_16314","Mtb R","16314","Thoracic LN",8,1171,586,585,0.00228293631176807,0.000836681860870307,0.00132322257936752,0,NA,"Y",5775715.313,3138975.713,NA,NA
"6","Run_4_06_Animal_20615","Mtb R","20615","plasma",3,1171,586,585,0.0020650703930639,0.000639122734453925,0.00134491827761197,0,NA,NA,NA,NA,NA,NA
"7","Run_4_07_Animal_20615","Mtb R","20615","plasma",6,1171,586,585,0.00254588232700445,0.000956452028163823,0.00151186875030427,0,NA,NA,NA,NA,NA,NA
"8","Run_4_08_Animal_20615","Mtb R","20615","pLN",6,1171,586,585,0.00217695888073586,0.000659411773643345,0.00146188344949573,0,NA,"N",NA,209057281.3,NA,NA
"9","Run_4_09_Animal_20615","Mtb R","20615","Thoracic LN",6,1171,586,585,0.00232126899130894,0.000695644270114334,0.00156738699282222,0,NA,"N",NA,51367440.1,NA,NA
"10","Run_4_10_Animal_20615","Mtb R","20615","Thoracic LN",6,1171,586,585,0.00234810575699225,0.00067676258496587,0.00160413876373675,0,NA,"Y",14339881.25,6289421.601,0.44,0.32
"11","Run_4_11_Animal_3516","Mtb R","3516","plasma",3,1171,586,585,0.00183306818765283,0.000583401293703072,0.00116622960087179,0,NA,NA,NA,NA,NA,NA
"12","Run_4_12_Animal_3516","Mtb R","3516","plasma",8,1171,586,585,0.00229272779122047,0.000885046759817406,0.00133684503435385,0,NA,NA,NA,NA,NA,NA
"13","Run_4_13_Animal_3516","Mtb R","3516","pLN",9,1171,586,585,0.00224268967363105,0.000906528836757679,0.00126233512545299,0,NA,"N",NA,3763036.058,NA,NA
"14","Run_4_14_Animal_3516","Mtb R","3516","Thoracic LN",9,1171,586,585,0.00237173669284332,0.000565724719300341,0.00173394822376068,2,"824,825","N",NA,20723316.41,0.44,0.49
"15","Run_4_15_Animal_3516","Mtb R","3516","Thoracic LN",9,1171,586,585,0.00232032313861697,0.000878742682969283,0.00137723474129915,0,NA,"Y",14276980.63,17846225.78,0.33,0.58
"16","Run_4_16_Animal_30816","Mtb NR","30816","plasma",5,1171,586,585,0.0031195560689079,0.00122339609832423,0.00181176885758291,1,"335",NA,NA,NA,NA,NA
"17","Run_4_17_Animal_30816","Mtb NR","30816","plasma",8,1171,586,585,0.00369311340656717,0.00161748652333618,0.00199766588670427,0,NA,NA,NA,NA,NA,NA
"18","Run_4_18_Animal_30816","Mtb NR","30816","pLN",8,1170,585,585,0.00304352699807405,0.00111218448205128,0.00183146812247863,1,"335","N",NA,12331444.69,NA,NA
"19","Run_4_19_Animal_30816","Mtb NR","30816","Thoracic LN",8,1171,586,585,0.00473824420327444,0.00239061184426621,0.00226369378270085,0,NA,"N",NA,34823368.75,NA,NA
"20","Run_4_20_Animal_30816","Mtb NR","30816","Thoracic LN",8,1171,586,585,0.00322058972354205,0.00129100909249147,0.00183028395350427,1,"335","Y",69603.94141,2088118.242,0.37,0.52
"21","Run_4_21_Animal_3216","Mtb NR","3216","plasma",3,1171,586,585,0.00257220988058328,0.000566774475870307,0.0019240991632735,2,"824,825",NA,NA,NA,NA,NA
"22","Run_4_22_Animal_3216","Mtb NR","3216","plasma",8,1171,586,585,0.00240711966780137,0.000907334401450512,0.00139481293589744,0,NA,NA,NA,NA,NA,NA
"23","Run_4_23_Animal_3216","Mtb NR","3216","pLN",9,1171,586,585,0.00228630161504974,0.00107173385836177,0.00115209167907692,0,NA,"N",NA,129406527.8,NA,NA
"24","Run_4_24_Animal_3216","Mtb NR","3216","Thoracic LN",9,1171,586,585,0.00323572991458372,0.00085072898443686,0.00226109438835897,2,"824,825","Y",2683699.844,8945666.146,0.34,0.54
"25","Run_5_02_Animal_3816","SIV only","3816","plasma",8,1171,586,585,0.00243727301613182,0.000718546076361775,0.00165553573844786,0,NA,NA,NA,NA,NA,NA
"26","Run_5_03_Animal_3816","SIV only","3816","pLN",8,1171,586,585,0.0020562221879269,0.000746512116313993,0.00124832387121197,0,NA,"N",NA,25713835.94,0.54,0.39
"27","Run_5_04_Animal_3816","SIV only","3816","Thoracic LN",8,1171,586,585,0.00276571041160013,0.000688196541163822,0.00202504364702735,2,"824,825","N",NA,450409973.3,0.42,0.45
"28","Run_5_05_Animal_16314","Mtb R","16314","Lung",8,1163,584,579,0.00213186610036429,0.000754074285359589,0.00116327802533679,0,NA,"Y",67640.06592,676400.6592,0.27,0.54
"29","Run_5_06_Animal_16314","Mtb R","16314","Lung",8,1171,586,585,0.00184611981859044,0.000627407078363481,0.0010701409654359,0,NA,"Y",390927.0898,1085908.583,0.21,0.65
"30","Run_5_07_Animal_16314","Mtb R","16314","Lung",8,1171,586,585,0.00240642375231536,0.00113266049994881,0.0011593686401094,0,NA,"Y",322093.0996,16104604.98,0.39,0.48
"31","Run_5_08_Animal_20615","Mtb R","20615","Lung",6,1165,585,580,0.00282080611303424,0.000671510890034188,0.00209032231504483,0,NA,"Y",55266.24512,552662.4512,0.15,0.29
"32","Run_5_09_Animal_31316","Mtb R","31316","Lung",8,1165,585,580,0.00209557954533016,0.000496183291664957,0.00123355261063621,0,NA,"Y",2769.085083,27690.85083,0.14,0.71
"33","Run_5_10_Animal_31316","Mtb R","31316","Lung",8,1168,585,583,0.00160153727737682,0.000506051197401709,0.00101885531924528,0,NA,"Y",3608.454468,72169.08936,0.1,0.71
"34","Run_5_11_Animal_20615","Mtb R","20615","Lung",6,1171,586,585,0.00244521004187612,0.000782095055769625,0.00159880662314701,0,NA,"N",NA,1576303.699,NA,NA
"35","Run_5_12_Animal_3516","Mtb R","3516","Lung",9,1144,578,566,0.00189072743989041,0.000557668409688581,0.00123393504699647,0,NA,"Y",139136.9766,1391359.766,0.09,0.72
"36","Run_5_13_Animal_3516","Mtb R","3516","Lung",9,1163,584,579,0.0019437552698046,0.000695880286027397,0.00117648925604491,0,NA,"Y",36064.12012,300526.001,0.07,0.75
"37","Run_5_14_Animal_3616","SIV only","3616","plasma",2,1169,586,583,0.00225759042061534,0.000501159731569966,0.00169415605269125,2,"824,825",NA,NA,NA,NA,NA
"38","Run_5_15_Animal_3616","SIV only","3616","plasma",7,1166,585,581,0.00190768269549354,0.000771992827784615,0.0010559450874389,0,NA,NA,NA,NA,NA,NA
"39","Run_5_16_Animal_3616","SIV only","3616","pLN",7,1167,585,582,0.00201109061119575,0.000767406009623932,0.00117352407438144,0,NA,"N",NA,13750750,NA,NA
"40","Run_5_17_Animal_3616","SIV only","3616","Thoracic LN",7,1158,583,575,0.00248995424071432,0.00128525400226415,0.00112109067624348,0,NA,"N",NA,19188847.06,0.42,0.5
"41","Run_5_18_Animal_3316","SIV only","3316","plasma",7,1148,580,568,0.0019459038650988,0.000625901701948276,0.00122606954088028,0,NA,NA,NA,NA,NA,NA
"42","Run_5_19_Animal_3316","SIV only","3316","pLN",7,1171,586,585,0.00220572241050835,0.000947345414488055,0.00118521925480342,0,NA,"N",NA,92100775.24,NA,NA
"43","Run_5_20_Animal_3316","SIV only","3316","Thoracic LN",7,1171,586,585,0.00200907585056526,0.000792653112918089,0.00115151984464957,0,NA,"N",NA,47911290,NA,NA
"44","Run_5_21_Animal_3816","SIV only","3816","Lung",8,1169,585,584,0.00224077145045914,0.000570109905264957,0.00159977754511986,1,"824","N",NA,817675.3668,0.52,0.39
"45","Run_5_22_Animal_4016","SIV only","4016","plasma",8,1163,584,579,0.00189453852102122,0.000619583861506849,0.00114773943789292,0,NA,NA,NA,NA,NA,NA
"46","Run_5_23_Animal_4016","SIV only","4016","Thoracic LN",8,1171,586,585,0.00233215993949563,0.00101500758020478,0.00116699895728205,0,NA,"N",NA,284326525,NA,NA
"47","Run_5_24_Animal_4016","SIV only","4016","Lung",8,1166,585,581,0.00232213865612071,0.000878843482923077,0.00129160515299484,0,NA,"N",NA,25222941.41,0.22,0.45
"48","Run_6_02_Animal_31316","Mtb R","31316","plasma",5,1171,586,585,0.00191009067019904,0.000635947532720137,0.00120641316685128,0,NA,NA,NA,NA,NA,NA
"49","Run_6_03_Animal_31316","Mtb R","31316","plasma",8,1171,586,585,0.00203229545778575,0.000732327894382253,0.00121522867093504,0,NA,NA,NA,NA,NA,NA
"50","Run_6_04_Animal_31316","Mtb R","31316","pLN",8,1166,583,583,0.00206706515728616,0.000842745765694683,0.00115665915986278,0,NA,"N",NA,25655606.25,NA,NA
"51","Run_6_05_Animal_31316","Mtb R","31316","Thoracic LN",8,1166,583,583,0.00201567267329767,0.000733650653087479,0.00120498345963979,0,NA,"Y",550883.2813,11017665.63,0.51,0.41
"52","Run_6_06_Animal_31316","Mtb R","31316","Thoracic LN",8,1170,585,585,0.0022967096318477,0.000540788666837607,0.00169017422841026,0,NA,"N",NA,159054.165,0.71,0.24
"53","Run_6_07_Animal_16314","Mtb R","16314","Lung",8,1166,583,583,0.00201163406680488,0.00072252595626072,0.00117992081578045,0,NA,"Y",23066.03918,768867.9726,0.36,0.49
"54","Run_6_08_Animal_16314","Mtb R","16314","Thoracic LN",8,1171,586,585,0.0019998076013429,0.000609895823208191,0.00129642462444444,0,NA,"N",NA,88953205.88,0.43,0.44
"55","Run_6_09_Animal_20615","Mtb R","20615","Lung",6,1171,586,585,0.00265018786774958,0.000736455495187713,0.00183148739663248,0,NA,"Y",118019.6507,184405.7043,0.13,0.17
"56","Run_6_10_Animal_20615","Mtb R","20615","Lung",6,1171,586,585,0.0027435709202075,0.00145091581761092,0.00123318620842735,1,"825","Y",4258.202694,141940.0898,0.47,0.25
"57","Run_6_11_Animal_20615","Mtb R","20615","Lung",6,1171,586,585,0.00261147664132788,0.00071606372890785,0.00180734875374359,0,NA,"Y",23072.9429,384549.0483,0.13,0.21
"58","Run_6_13_Animal_3516","Mtb R","3516","Lung",9,1166,583,583,0.00177734857943131,0.000514334428799314,0.00116492584003431,0,NA,"Y",16254.81445,162548.1445,0,0.5
"59","Run_6_14_Animal_3516","Mtb R","3516","Lung",9,1166,583,583,0.00204609680312131,0.000653777627272727,0.00131226082367067,0,NA,"Y",22410.92027,280136.5033,0.1,0.71
