"","Cohort","Monkey","Tissue2","Week","filename","no.sites","no.syn.sites","no.ns.sites","mean","mean.syn","mean.ns","median","mutated.sites.no","mutated.sites"
"1","Mtb R","16314","plasma",3,"Run_4_01_Animal_16314",1171,586,585,0.00209425700535215,0.000671046628134812,0.00130133193133504,0.00202395776698178,NA,NA
"2","Mtb R","16314","plasma",8,"Run_4_02_Animal_16314",1171,586,585,0.00201041610220384,0.000676116275141638,0.00123868272503077,0.00192788661942476,0,NA
"3","Mtb R","16314","pLN",8,"Run_4_03_Animal_16314",1171,586,585,0.00183372334944315,0.000584180600392491,0.00116890385376068,0.00177631111497075,0,NA
"4","Mtb R","16314","Thoracic LN",8,"Run_4_04_Animal_16314",1171,586,585,0.0020672220660933,0.000729006444522184,0.00126555922030598,0.00173117638113954,0,NA
"5","Mtb R","16314","Thoracic LN",8,"Run_4_05_Animal_16314",1171,586,585,0.00228293631176807,0.000836681860870307,0.00132322257936752,0.00179163648839248,0,NA
"6","Mtb R","20615","plasma",3,"Run_4_06_Animal_20615",1171,586,585,0.0020650703930639,0.000639122734453925,0.00134491827761197,0.00182163582897442,0,NA
"7","Mtb R","20615","plasma",6,"Run_4_07_Animal_20615",1171,586,585,0.00254588232700445,0.000956452028163823,0.00151186875030427,0.00193985067336543,0,NA
"8","Mtb R","20615","pLN",6,"Run_4_08_Animal_20615",1171,586,585,0.00217695888073586,0.000659411773643345,0.00146188344949573,0.00174954685160375,0,NA
"9","Mtb R","20615","Thoracic LN",6,"Run_4_09_Animal_20615",1171,586,585,0.00232126899130894,0.000695644270114334,0.00156738699282222,0.00183334861123843,0,NA
"10","Mtb R","20615","Thoracic LN",6,"Run_4_10_Animal_20615",1171,586,585,0.00234810575699225,0.00067676258496587,0.00160413876373675,0.00189309774783582,0,NA
"11","Mtb R","3516","plasma",3,"Run_4_11_Animal_3516",1171,586,585,0.00183306818765283,0.000583401293703072,0.00116622960087179,0.00171065156510823,0,NA
"12","Mtb R","3516","plasma",8,"Run_4_12_Animal_3516",1171,586,585,0.00229272779122047,0.000885046759817406,0.00133684503435385,0.00192580579768903,0,NA
"13","Mtb R","3516","pLN",9,"Run_4_13_Animal_3516",1171,586,585,0.00224268967363105,0.000906528836757679,0.00126233512545299,0.00168183389010483,0,NA
"14","Mtb R","3516","Thoracic LN",9,"Run_4_14_Animal_3516",1171,586,585,0.00237173669284332,0.000565724719300341,0.00173394822376068,0.00162385259027042,2,"824,825"
"15","Mtb R","3516","Thoracic LN",9,"Run_4_15_Animal_3516",1171,586,585,0.00232032313861697,0.000878742682969283,0.00137723474129915,0.0018030791043166,0,NA
"16","Mtb NR","30816","plasma",5,"Run_4_16_Animal_30816",1171,586,585,0.0031195560689079,0.00122339609832423,0.00181176885758291,0.0019023518117846,1,"335"
"17","Mtb NR","30816","plasma",8,"Run_4_17_Animal_30816",1171,586,585,0.00369311340656717,0.00161748652333618,0.00199766588670427,0.00187233734634623,0,NA
"18","Mtb NR","30816","pLN",8,"Run_4_18_Animal_30816",1170,585,585,0.00304352699807405,0.00111218448205128,0.00183146812247863,0.00168238899236916,1,"335"
"19","Mtb NR","30816","Thoracic LN",8,"Run_4_19_Animal_30816",1171,586,585,0.00473824420327444,0.00239061184426621,0.00226369378270085,0.00173716668114306,0,NA
"20","Mtb NR","30816","Thoracic LN",8,"Run_4_20_Animal_30816",1171,586,585,0.00322058972354205,0.00129100909249147,0.00183028395350427,0.00161910544424206,1,"335"
"21","Mtb NR","3216","plasma",3,"Run_4_21_Animal_3216",1171,586,585,0.00257220988058328,0.000566774475870307,0.0019240991632735,0.00177617824676648,2,"824,825"
"22","Mtb NR","3216","plasma",8,"Run_4_22_Animal_3216",1171,586,585,0.00240711966780137,0.000907334401450512,0.00139481293589744,0.00196185722483951,0,NA
"23","Mtb NR","3216","pLN",9,"Run_4_23_Animal_3216",1171,586,585,0.00228630161504974,0.00107173385836177,0.00115209167907692,0.00169390356042396,0,NA
"24","Mtb NR","3216","Thoracic LN",9,"Run_4_24_Animal_3216",1171,586,585,0.00323572991458372,0.00085072898443686,0.00226109438835897,0.00208510567315552,2,"824,825"
"25","SIV only","3816","plasma",8,"Run_5_02_Animal_3816",1171,586,585,0.00243727301613182,0.000718546076361775,0.00165553573844786,0.00188869889631587,0,NA
"26","SIV only","3816","pLN",8,"Run_5_03_Animal_3816",1171,586,585,0.0020562221879269,0.000746512116313993,0.00124832387121197,0.00174380160453154,0,NA
"27","SIV only","3816","Thoracic LN",8,"Run_5_04_Animal_3816",1171,586,585,0.00276571041160013,0.000688196541163822,0.00202504364702735,0.00167510354348827,2,"824,825"
"28","Mtb R","16314","Lung",8,"Run_5_05_Animal_16314",1163,584,579,0.00213186610036429,0.000754074285359589,0.00116327802533679,0.00154241645244216,0,NA
"29","Mtb R","16314","Lung",8,"Run_5_06_Animal_16314",1171,586,585,0.00184611981859044,0.000627407078363481,0.0010701409654359,0.00155038759689922,0,NA
"30","Mtb R","16314","Lung",8,"Run_5_07_Animal_16314",1171,586,585,0.00240642375231536,0.00113266049994881,0.0011593686401094,0.00171703296703297,0,NA
"31","Mtb R","20615","Lung",6,"Run_5_08_Animal_20615",1165,585,580,0.00282080611303424,0.000671510890034188,0.00209032231504483,0.00159174314034745,0,NA
"32","Mtb R","31316","Lung",8,"Run_5_09_Animal_31316",1165,585,580,0.00209557954533016,0.000496183291664957,0.00123355261063621,0.00151052641309318,0,NA
"33","Mtb R","31316","Lung",8,"Run_5_10_Animal_31316",1168,585,583,0.00160153727737682,0.000506051197401709,0.00101885531924528,0.00141774916285531,0,NA
"34","Mtb R","20615","Lung",6,"Run_5_11_Animal_20615",1171,586,585,0.00244521004187612,0.000782095055769625,0.00159880662314701,0.00175245789645647,0,NA
"35","Mtb R","3516","Lung",9,"Run_5_12_Animal_3516",1144,578,566,0.00189072743989041,0.000557668409688581,0.00123393504699647,0.00147383935151069,0,NA
"36","Mtb R","3516","Lung",9,"Run_5_13_Animal_3516",1163,584,579,0.0019437552698046,0.000695880286027397,0.00117648925604491,0.0015406162464986,0,NA
"37","SIV only","3616","plasma",2,"Run_5_14_Animal_3616",1169,586,583,0.00225759042061534,0.000501159731569966,0.00169415605269125,0.00162874536949678,2,"824,825"
