"","SampleID","MaxDepth","AveDepth","No.ofSites","SE"
"1","mm10.10","10458","5380.5296969697",834,68.0206958399528
"2","mm10.2","9528","7284.35515151515",834,48.2156011452018
"3","mm10.3","10423","7415.81333333333",834,40.3571460087402
"4","mm10.6","3156","1772.48561151079",834,20.3181603006033
"5","mm10.8","4051","3020.59272727273",834,18.7771719035651
"6","mm156.11","15556","10982.943030303",834,84.3382683098486
"7","mm156.3","17974","9006.0021141649",834,261.456719782401
"8","mm156.7","16557","12460.8424242424",834,72.8686182012336
"9","mm174.13","15082","11676.9490909091",834,70.8012867561605
"10","mm174.2","16842","15179.9748201439",834,30.6151205852039
"11","mm174.3","16433","13034.7889688249",834,69.3148554627136
"12","mm174.7","16456","14737.0775757576",834,30.6746914355756
"13","mm198.10","12575","10039.6084848485",834,52.9606951314225
"14","mm198.2","13942","10932.1781818182",834,68.1927194686994
"15","mm198.3","15395","12194.2846715328",834,62.1478095405974
"16","mm198.4","17463","9341.73600973236",834,128.076962738822
"17","mm198.6","13909","10342.4339393939",834,71.86049916042
"18","mm198.8","14600","12472.7406060606",834,45.7976813890022
"19","mmStock","6584","4629.94364508393",834,34.4935656274611
