"","Monkey","Week","Cohort","Tissue2","Granuloma","CD4.percent","CD4.counts","vRNA"
"13",3316,8,"SIV only","Plasma_nex","",NA,789,48479
"42",3316,8,"SIV only","pLN","N",NA,NA,92100775.24
"43",3316,8,"SIV only","tLN","N",NA,NA,47911290
"16",3616,2,"SIV only","Plasma","",NA,683,4290572
"17",3616,8,"SIV only","Plasma_nex","",NA,182,1649
"39",3616,8,"SIV only","pLN","N",NA,NA,13750750
"40",3616,8,"SIV only","tLN","N",0.42,NA,19188847.06
"18",3816,8,"SIV only","Plasma_nex","",NA,297,52156
"26",3816,8,"SIV only","pLN","N",0.54,NA,25713835.94
"27",3816,8,"SIV only","tLN","N",0.42,NA,450409973.3
"44",3816,8,"SIV only","Lung","N",0.52,NA,817675.3668
"19",4016,8,"SIV only","Plasma_nex","",NA,749,20623131
"69",4016,8,"SIV only","pLN","N",0.55,NA,1357765.833
"46",4016,8,"SIV only","tLN","N",NA,NA,284326525
"47",4016,8,"SIV only","Lung","N",0.22,NA,25222941.41
"7",3116,3,"Mtb NR","Plasma","",NA,1038,539759
"8",3116,8,"Mtb NR","Plasma_nex","",NA,2554,2329
"62",3116,8,"Mtb NR","pLN","N",NA,NA,28324021.21
"63",3116,8,"Mtb NR","tLN","Y",0.5,NA,14676593.99
"65",3116,8,"Mtb NR","tLN","N",0.5,NA,644645651.8
"64",3116,8,"Mtb NR","Lung","N",NA,NA,13186.55865
"11",3216,3,"Mtb NR","Plasma","",NA,1243,2130503
"12",3216,8,"Mtb NR","Plasma_nex","",NA,2349,38969
"23",3216,9,"Mtb NR","pLN","N",NA,NA,129406527.8
"24",3216,9,"Mtb NR","tLN","Y",0.34,NA,8945666.146
"66",3216,9,"Mtb NR","tLN","N",0.44,NA,63945105.47
"67",3216,9,"Mtb NR","Lung","N",NA,NA,44935.91309
"5",30816,5,"Mtb NR","Plasma","",NA,293,22625
"6",30816,8,"Mtb NR","Plasma_nex","",NA,375,9052
"181",30816,8,"Mtb NR","pLN","N",NA,NA,12331444.69
"191",30816,8,"Mtb NR","tLN","N",NA,NA,34823368.75
"20",30816,8,"Mtb NR","tLN","Y",0.37,NA,2088118.242
"68",30816,8,"Mtb NR","tLN","Y",0.34,NA,2140657.969
"14",3516,3,"Mtb R","Plasma","",NA,1339,3487532
"15",3516,8,"Mtb R","Plasma_nex","",NA,1794,52081
"131",3516,9,"Mtb R","pLN","N",NA,NA,3763036.058
"141",3516,9,"Mtb R","tLN","N",0.44,NA,20723316.41
"151",3516,9,"Mtb R","tLN","Y",0.33,NA,17846225.78
"35",3516,9,"Mtb R","Lung","Y",0.09,4859.36,1391359.766
"36",3516,9,"Mtb R","Lung","Y",0.07,2505.85,300526.001
"58",3516,9,"Mtb R","Lung","Y",0,1,162548.1445
"59",3516,9,"Mtb R","Lung","Y",0.1,9464.24,280136.5033
"1",16314,3,"Mtb R","Plasma","",NA,704,280110
"2",16314,8,"Mtb R","Plasma_nex","",NA,80,18965
"37",16314,8,"Mtb R","pLN","N",NA,NA,13857658.34
"41",16314,8,"Mtb R","tLN","N",NA,NA,33089916.29
"510",16314,8,"Mtb R","tLN","Y",NA,NA,3138975.713
"54",16314,8,"Mtb R","tLN","N",0.43,NA,88953205.88
"28",16314,8,"Mtb R","Lung","Y",0.27,120010.1,676400.6592
"29",16314,8,"Mtb R","Lung","Y",0.21,223330.27,1085908.583
"30",16314,8,"Mtb R","Lung","Y",0.39,3327929.33,16104604.98
"53",16314,8,"Mtb R","Lung","Y",0.36,907150.47,768867.9726
"3",20615,3,"Mtb R","Plasma","",NA,609,9659220
"4",20615,6,"Mtb R","Plasma_nex","",NA,607,185390
"81",20615,6,"Mtb R","pLN","N",NA,NA,209057281.3
"91",20615,6,"Mtb R","tLN","N",NA,NA,51367440.1
"101",20615,6,"Mtb R","tLN","Y",0.44,NA,6289421.601
"31",20615,6,"Mtb R","Lung","Y",0.15,2843.66,552662.4512
"34",20615,6,"Mtb R","Lung","N",NA,NA,1576303.699
"55",20615,6,"Mtb R","Lung","Y",0.13,141.4,184405.7043
"56",20615,6,"Mtb R","Lung","Y",0.47,NA,141940.0898
"57",20615,6,"Mtb R","Lung","Y",0.13,1733.3,384549.0483
"9",31316,5,"Mtb R","Plasma","",NA,1525,6349
"10",31316,8,"Mtb R","Plasma_nex","",NA,747,2353
"50",31316,8,"Mtb R","pLN","N",NA,NA,25655606.25
"51",31316,8,"Mtb R","tLN","Y",0.51,NA,11017665.63
"52",31316,8,"Mtb R","tLN","N",0.71,NA,159054.165
"32",31316,8,"Mtb R","Lung","Y",0.14,NA,27690.85083
"33",31316,8,"Mtb R","Lung","Y",0.1,6573.06,72169.08936
