"","SampleID","MaxDepth","AveDepth","No.ofSites","SE"
"1","Run_4_01_Animal_16314","305751","211493.210312076",741,4395.20099232127
"2","Run_4_02_Animal_16314","247167","170417.210312076",741,3555.1035404883
"3","Run_4_03_Animal_16314","130711","89346.3238866397",741,1892.39316922239
"4","Run_4_04_Animal_16314","127870","70584.9745127436",741,1240.90605846823
"5","Run_4_05_Animal_16314","54834","37629.6793997271",741,785.760551855867
"6","Run_4_06_Animal_20615","224590","155233.758434548",741,3248.87774585576
"7","Run_4_07_Animal_20615","156927","109476.770068027",741,2256.7741975888
"8","Run_4_08_Animal_20615","445105","300885.808683853",741,6443.91421511036
"9","Run_4_09_Animal_20615","111970","76159.4237516869",741,1622.21431314678
"10","Run_4_10_Animal_20615","125718","87850.8232118758",741,1805.62901964322
"11","Run_4_11_Animal_3516","77941","52170.6504065041",741,1129.36214734103
"12","Run_4_12_Animal_3516","462576","314053.537112011",741,6713.19300992377
"13","Run_4_13_Animal_3516","53721","37155.2780026991",741,777.242445399886
"14","Run_4_14_Animal_3516","92316","63835.1671195652",741,1335.13815663886
"15","Run_4_15_Animal_3516","68570","56207.5954692557",741,753.914034645566
"16","Run_4_16_Animal_30816","361865","251622.431478969",741,5212.4078516814
"17","Run_4_17_Animal_30816","111199","74096.447761194",741,1609.43782514006
"18","Run_4_18_Animal_30816","18432","11759.4427792916",741,266.945004531749
"19","Run_4_19_Animal_30816","13140","8575.60436562074",741,175.55594154128
"20","Run_4_20_Animal_30816","7010","3490.48840381992",741,74.6811021856829
"21","Run_4_21_Animal_3216","304228","210993.372469636",741,4392.14739986003
"22","Run_4_22_Animal_3216","78750","53273.4491180461",741,1139.60722720965
"23","Run_4_23_Animal_3216","71443","49816.5470668486",741,1024.62655290049
"24","Run_4_24_Animal_3216","62274","42907.1383989145",741,898.97612292545
"25","Run_5_01_Animal_stock_virus","186684","119821.036784741",741,2733.31236385258
"26","Run_5_02_Animal_3816","302947","194852.435897436",741,4470.61875099634
"27","Run_5_03_Animal_3816","185185","120269.910081744",741,2726.98256914406
"28","Run_5_04_Animal_3816","250696","159438.245923913",741,3659.54991455397
"29","Run_5_05_Animal_16314","61181","42705.0498489426",741,836.75506827161
"30","Run_5_06_Animal_16314","120717","78959.2784636488",741,1764.84229839258
"31","Run_5_07_Animal_16314","240350","158625.251023192",741,3544.9045010008
"32","Run_5_08_Animal_20615","212379","130021.723433242",741,3085.68815344056
"33","Run_5_09_Animal_31316","161559","101516.123978202",741,2358.62081926034
"34","Run_5_10_Animal_31316","50984","35577.5409356725",741,711.536716398993
"35","Run_5_11_Animal_20615","170794","106286.145183175",741,2497.89745885256
"36","Run_5_12_Animal_3516","4378","2544.92352092352",741,56.5381542424305
"37","Run_5_13_Animal_3516","43571","32165.9649681529",741,544.17587589944
"38","Run_5_14_Animal_3616","126459","80721.7404891304",741,1854.4643549421
"39","Run_5_15_Animal_3616","127060","80603.2319236016",741,1852.39771011571
"40","Run_5_16_Animal_3616","59064","40007.5606276747",741,846.19647237551
"41","Run_5_17_Animal_3616","66703","41137.002739726",741,971.226977111722
"42","Run_5_18_Animal_3316","66206","45391.8833333333",741,862.119056231188
"43","Run_5_19_Animal_3316","61851","40387.3206002729",741,904.612072820036
"44","Run_5_20_Animal_3316","65689","42562.7861035422",741,960.257473875793
"45","Run_5_21_Animal_3816","45109","29294.3785617368",741,660.588179457152
"46","Run_5_22_Animal_4016","51616","32007.2837653479",741,753.526720523094
"47","Run_5_23_Animal_4016","50819","33076.9145183175",741,747.450257210793
"48","Run_5_24_Animal_4016","40117","28936.8897396631",741,544.976711171226
"49","Run_6_01_Animal_stock_virus","123947","73569.0096418733",741,1782.3221474441
"50","Run_6_02_Animal_31316","120253","71633.6485013624",741,1708.11661877961
"51","Run_6_03_Animal_31316","149964","88133.4100817439",741,2128.22454751167
"52","Run_6_04_Animal_31316","8418","5441.84782608696",741,117.211634795364
"53","Run_6_05_Animal_31316","13458","7993.96891891892",741,192.870930185384
"54","Run_6_06_Animal_31316","58935","37783.4043478261",741,822.326235181236
"55","Run_6_07_Animal_16314","7969","5803.42739273927",741,96.5130244481567
"56","Run_6_08_Animal_16314","9395","6816.21262458472",741,112.023380845343
"57","Run_6_09_Animal_20615","20117","14303.5128205128",741,252.961045844294
"58","Run_6_10_Animal_20615","97396","69333.6692913386",741,1254.43750515303
"59","Run_6_11_Animal_20615","23476","16447.7693574959",741,292.958082840406
"60","Run_6_13_Animal_3516","12133","4569.44711538462",741,100.41072677644
"61","Run_6_14_Animal_3516","5134","3700.3023255814",741,60.5693844345447
"62","Run_6_15_Animal_3116","151633","90927.2673942701",741,2158.80689070531
"63","Run_6_16_Animal_3116","108174","65779.2643835616",741,1541.81883215936
"64","Run_6_17_Animal_3116","6178","4414.89351081531",741,76.3742178808934
"65","Run_6_18_Animal_3116","1789","1073.54485049834",741,18.9115856219854
"66","Run_6_19_Animal_3116","19988","14478.7170731707",741,247.462059410372
"67","Run_6_20_Animal_3116","2543","1834.44224422442",741,30.3895889831113
"68","Run_6_21_Animal_3216","15998","11160.7023622047",741,206.336482027924
"69","Run_6_22_Animal_3216","24555","16038.1661721068",741,341.85271503395
"70","Run_6_23_Animal_30816","2513","1065.95840266223",741,20.8441000216581
"71","Run_6_24_Animal_4016","55405","33143.4939271255",741,791.760702752272
