"","Cohort","Monkey","Tissue2","Week","filename","no.sites","no.syn.sites","no.ns.sites","mean","mean.syn","mean.ns","median","mutated.sites.no","mutated.sites"
"1","Mtb R","16314","plasma",3,"Run_4_01_Animal_16314",1172,586,586,0.00228977306279466,0.000671046628134812,0.00149820116012116,0.00202569121370258,NA,NA
"2","Mtb R","16314","plasma",8,"Run_4_02_Animal_16314",1172,586,586,0.00230376529567834,0.000676116275141638,0.00153334879546587,0.00193015134400644,0,NA
"3","Mtb R","16314","pLN",8,"Run_4_03_Animal_16314",1172,586,586,0.00233250137625096,0.000584180600392491,0.00166881630452218,0.00177916296645339,0,NA
"4","Mtb R","16314","Thoracic LN",8,"Run_4_04_Animal_16314",1172,586,586,0.00206369438338666,0.000729006444522184,0.00126339956293345,0.00173031192528368,0,NA
"5","Mtb R","16314","Thoracic LN",8,"Run_4_05_Animal_16314",1172,586,586,0.0022790405160142,0.000836681860870307,0.00132096452035836,0.00179089990886358,0,NA
"6","Mtb R","20615","plasma",3,"Run_4_06_Animal_20615",1172,586,586,0.00253556989372041,0.000639122734453925,0.00181664674471502,0.00182258262036956,0,NA
"7","Mtb R","20615","plasma",6,"Run_4_07_Animal_20615",1172,586,586,0.00264191926742213,0.000956452028163823,0.00160967022001365,0.00194237681007465,0,NA
"8","Mtb R","20615","pLN",6,"Run_4_08_Animal_20615",1172,586,586,0.00236552389346162,0.000659411773643345,0.00165166880197099,0.00174990911251027,0,NA
"9","Mtb R","20615","Thoracic LN",6,"Run_4_09_Animal_20615",1172,586,586,0.00256109130166019,0.000695644270114334,0.00180849571809044,0.00183776571999455,0,NA
"10","Mtb R","20615","Thoracic LN",6,"Run_4_10_Animal_20615",1172,586,586,0.00248061752191206,0.00067676258496587,0.00173792009690444,0.00189382083363826,0,NA
"11","Mtb R","3516","plasma",3,"Run_4_11_Animal_3516",1172,586,586,0.00196120813430031,0.000583401293703072,0.00129550750257679,0.0017133558544652,0,NA
"12","Mtb R","3516","plasma",8,"Run_4_12_Animal_3516",1172,586,586,0.002573229393397,0.000885046759817406,0.001618977892657,0.0019301488107838,0,NA
"13","Mtb R","3516","pLN",9,"Run_4_13_Animal_3516",1172,586,586,0.00248264607838107,0.000906528836757679,0.00150396441704778,0.00168326604610799,0,NA
"14","Mtb R","3516","Thoracic LN",9,"Run_4_14_Animal_3516",1172,586,586,0.0024624940629162,0.000565724719300341,0.00182579397764505,0.00162685580373271,2,"824,825"
"15","Mtb R","3516","Thoracic LN",9,"Run_4_15_Animal_3516",1172,586,586,0.00274298470322684,0.000878742682969283,0.00180150567177474,0.00180556577626861,0,NA
"16","Mtb NR","30816","plasma",5,"Run_4_16_Animal_30816",1172,586,586,0.003263924229619,0.00122339609832423,0.0019583687400785,0.00190427773056053,1,"335"
"17","Mtb NR","30816","plasma",8,"Run_4_17_Animal_30816",1172,586,586,0.00378719261476717,0.00161748652333618,0.00209463835106143,0.00187460370808108,0,NA
"18","Mtb NR","30816","pLN",8,"Run_4_18_Animal_30816",1172,586,586,0.00303833326599542,0.00111028655631399,0.00182834275025597,0.00168217308945675,2,"94,335"
"19","Mtb NR","30816","Thoracic LN",8,"Run_4_19_Animal_30816",1172,586,586,0.00473015846231322,0.00239061184426621,0.0022598308240273,0.00173484850021182,0,NA
"20","Mtb NR","30816","Thoracic LN",8,"Run_4_20_Animal_30816",1172,586,586,0.00321509383664181,0.00129100909249147,0.00182716060204778,0.00161698106285579,1,"335"
"21","Mtb NR","3216","plasma",3,"Run_4_21_Animal_3216",1172,586,586,0.00278903141599121,0.000566774475870307,0.0021420266391041,0.00177631710855283,2,"824,825"
"22","Mtb NR","3216","plasma",8,"Run_4_22_Animal_3216",1172,586,586,0.00261632253526246,0.000907334401450512,0.00160574328924915,0.00196211140811868,0,NA
"23","Mtb NR","3216","pLN",9,"Run_4_23_Animal_3216",1172,586,586,0.00282128996329063,0.00107173385836177,0.00168901558406143,0.00169454000644098,0,NA
"24","Mtb NR","3216","Thoracic LN",9,"Run_4_24_Animal_3216",1172,586,586,0.00344351877138477,0.00085072898443686,0.00247054644571672,0.0020864279599816,2,"824,825"
"25","SIV only","3816","plasma",8,"Run_5_02_Animal_3816",1172,586,586,0.00261274380944002,0.000718546076361775,0.00183234062626621,0.00188972564845139,0,NA
"26","SIV only","3816","pLN",8,"Run_5_03_Animal_3816",1172,586,586,0.00247933443675297,0.000746512116313993,0.00167281478610751,0.00174980275594599,0,NA
