"","Monkey","Tissue","Week","filename","no.sites","no.syn.sites","no.ns.sites","mean","mean.syn","mean.ns"
"1","16314","plasma",3,"Run_4_01_Animal_16314",26,10,16,0.0827954646730769,0.00878108864,0.12905444969375
"2","16314","plasma",8,"Run_4_02_Animal_16314",30,11,19,0.0730864405821,0.0104548211818182,0.109346851813842
"3","16314","LN",8,"Run_4_03_Animal_16314",9,4,5,0.0196946514555556,0.01146504536,0.026278336332
"4","16314","HLN",8,"Run_4_04_Animal_16314",14,4,10,0.154029600806429,0.0259973090625,0.205242517504
"5","16314","LN",8,"Run_4_05_Animal_16314",19,8,11,0.0142379237805263,0.0214106733425,0.00902137864454546
"29","16314","Lung",8,"Run_5_05_Animal_16314",29,11,18,0.0241568387503448,0.0163341671463636,0.0289373602861111
"30","16314","Lung",8,"Run_5_06_Animal_16314",13,7,6,0.0399801509176923,0.0137546104,0.070576614855
"31","16314","Lung",8,"Run_5_07_Animal_16314",16,6,10,0.115667479486875,0.0607647562333333,0.148609113439
"55","16314","Lung",8,"Run_6_07_Animal_16314",26,9,17,0.0413419173307692,0.0132972235444444,0.0561891081588235
"56","16314","HLN",8,"Run_6_08_Animal_16314",17,7,10,0.0512726047176471,0.00717762257142857,0.08213909222
"6","20615","plasma",3,"Run_4_06_Animal_20615",9,2,7,0.257638745393333,0.02050418,0.325391478362857
"7","20615","plasma",6,"Run_4_07_Animal_20615",18,6,12,0.0356347731333333,0.0316256275833333,0.0376393459083333
"8","20615","LN",6,"Run_4_08_Animal_20615",25,8,17,0.0968907143508,0.0074740880125,0.138969126745294
"9","20615","HLN",6,"Run_4_09_Animal_20615",17,12,5,0.0189681203005882,0.00821038878833333,0.04478667593
"10","20615","LN",6,"Run_4_10_Animal_20615",11,5,6,0.241207265072727,0.00852744806,0.435107112583333
"32","20615","Lung",6,"Run_5_08_Animal_20615",21,8,13,0.0516370644904762,0.01195895860125,0.0760543604223077
"35","20615","Lung",6,"Run_5_11_Animal_20615",38,17,21,0.0497387083823684,0.0102773933870588,0.0816835824261905
"57","20615","Lung",6,"Run_6_09_Animal_20615",19,11,8,0.0680238616152632,0.00989621330909091,0.14794937803625
"58","20615","Lung",6,"Run_6_10_Animal_20615",21,7,14,0.0736418580928571,0.0833441288,0.0687907227392857
"59","20615","Lung",6,"Run_6_11_Animal_20615",14,8,6,0.0956644618478571,0.0160058276125,0.201875974161667
"16","30816","plasma",5,"Run_4_16_Animal_30816",29,11,18,0.0823875582368966,0.0343306252845455,0.11175568393
"17","30816","plasma",8,"Run_4_17_Animal_30816",9,6,3,0.120413501867778,0.09918968949,0.162861126623333
"18","30816","LN",8,"Run_4_18_Animal_30816",37,21,16,0.0322623225635135,0.0181083507566667,0.05083941056
"19","30816","HLN",8,"Run_4_19_Animal_30816",46,20,26,0.0394725972282609,0.0559237563505,0.0268178594419231
"20","30816","HLN",8,"Run_4_20_Animal_30816",24,6,18,0.050901311825,0.0714444878833333,0.0440535864722222
"70","30816","LN",8,"Run_6_23_Animal_30816",40,20,20,0.03256721282,0.020065858505,0.045068567135
"62","3116","plasma",3,"Run_6_15_Animal_3116",14,7,7,0.136907403975,0.00972534325142857,0.264089464698571
"63","3116","plasma",NA,"Run_6_16_Animal_3116",17,9,8,0.0514642177046471,0.00810022743111111,0.100248706762375
"64","3116","LN",NA,"Run_6_17_Animal_3116",42,13,29,0.0254985542857143,0.00879510473846154,0.0329863075310345
"65","3116","LN",NA,"Run_6_18_Animal_3116",47,13,34,0.00961196246808511,0.0116876306076923,0.00881832465
"66","3116","Lung",NA,"Run_6_19_Animal_3116",18,10,8,0.0528484392822222,0.013049341933,0.10259731096875
"67","3116","HLN",NA,"Run_6_20_Animal_3116",29,9,20,0.00954628268275862,0.0131478462888889,0.00792557906
"50","31316","plasma",5,"Run_6_02_Animal_31316",39,10,29,0.0610156891858974,0.01255667715,0.0777256933362069
"33","31316","Lung",8,"Run_5_09_Animal_31316",5,1,4,0.10381461479,0.007662835,0.1278525597375
"34","31316","Lung",8,"Run_5_10_Animal_31316",4,3,1,0.0949757330025,0.00898724400333333,0.3529412
"51","31316","plasma",8,"Run_6_03_Animal_31316",16,13,3,0.058936628993125,0.00702391620923077,0.283891717723333
"52","31316","LN",8,"Run_6_04_Animal_31316",20,11,9,0.054712448485,0.0165140026909091,0.101399437788889
"53","31316","LN",8,"Run_6_05_Animal_31316",13,9,4,0.0691435228153846,0.0131054566444444,0.1952291717
"54","31316","HLN",8,"Run_6_06_Animal_31316",6,2,4,0.191281615505,0.009342070415,0.28225138805
"21","3216","plasma",3,"Run_4_21_Animal_3216",29,10,19,0.111816223144448,0.1170507125,0.109061228746789
"22","3216","plasma",8,"Run_4_22_Animal_3216",24,8,16,0.01285519508,0.0226474616625,0.00795906178875
"23","3216","LN",9,"Run_4_23_Animal_3216",14,8,6,0.0349933549285714,0.036473443135,0.0330199039866667
"24","3216","HLN",9,"Run_4_24_Animal_3216",23,14,9,0.0904785023621739,0.0837553350621429,0.100936762606667
"68","3216","HLN",9,"Run_6_21_Animal_3216",19,13,6,0.0482694116910526,0.00822575079538462,0.135030676965
"69","3216","Lung",9,"Run_6_22_Animal_3216",16,10,6,0.05908189248125,0.01064405169,0.139811627133333
"42","3316","plasma",7,"Run_5_18_Animal_3316",24,9,15,0.0263090391975,0.0114799904677778,0.0352064684353333
"43","3316","LN",7,"Run_5_19_Animal_3316",16,8,8,0.03906486523125,0.0257029927375,0.052426737725
"44","3316","HLN",7,"Run_5_20_Animal_3316",14,11,3,0.0382366973507143,0.0124635473827273,0.132738247233333
"11","3516","plasma",3,"Run_4_11_Animal_3516",11,4,7,0.0986848066918182,0.00895521875,0.149958856944286
"12","3516","plasma",8,"Run_4_12_Animal_3516",30,12,18,0.0962237869493333,0.0201630320083333,0.14693095691
"13","3516","LN",9,"Run_4_13_Animal_3516",13,9,4,0.0239415831692308,0.0263942732,0.0184230306
"14","3516","HLN",9,"Run_4_14_Animal_3516",16,7,9,0.1580870503125,0.152293151487143,0.162593416065556
"15","3516","LN",9,"Run_4_15_Animal_3516",23,16,7,0.01487940735,0.01369165061875,0.0175942798785714
"36","3516","Lung",9,"Run_5_12_Animal_3516",17,5,12,0.0320009653470588,0.00977159218,0.0412632041666667
"37","3516","Lung",9,"Run_5_13_Animal_3516",19,10,9,0.0327936834657895,0.01333983611,0.0544090694166667
"60","3516","Lung",9,"Run_6_13_Animal_3516",20,7,13,0.011817443385,0.0126432920142857,0.0113727556615385
"61","3516","Lung",9,"Run_6_14_Animal_3516",30,15,15,0.0103464169933333,0.00837640189333333,0.0123164320933333
"38","3616","plasma",2,"Run_5_14_Animal_3616",7,1,6,0.342056991985714,1,0.232399823983333
"39","3616","plasma",7,"Run_5_15_Animal_3616",8,6,2,0.071668019325,0.0264974628333333,0.2071796888
"40","3616","LN",7,"Run_5_16_Animal_3616",7,3,4,0.0807851172857143,0.0472553403333333,0.10593245
"41","3616","HLN",7,"Run_5_17_Animal_3616",14,10,4,0.0622340085514286,0.046621016408,0.10126648891
"26","3816","plasma",8,"Run_5_02_Animal_3816",36,7,29,0.0689788209069444,0.00911380704571429,0.0834289966665517
"27","3816","LN",8,"Run_5_03_Animal_3816",15,10,5,0.0404851017446667,0.012290565036,0.096874175162
"28","3816","HLN",8,"Run_5_04_Animal_3816",32,14,18,0.113979989343438,0.0786307389278571,0.141473850777778
"45","3816","Lung",8,"Run_5_21_Animal_3816",11,6,5,0.109965708801818,0.006321052995,0.23433929577
"46","4016","plasma",8,"Run_5_22_Animal_4016",4,2,2,0.1212118005,0.0336680965,0.2087555045
"47","4016","HLN",8,"Run_5_23_Animal_4016",23,8,15,0.1258820843,0.167444150375,0.10371564906
"48","4016","Lung",8,"Run_5_24_Animal_4016",3,1,2,0.1962800894,0.1871102,0.2008650341
"71","4016","LN",8,"Run_6_24_Animal_4016",5,1,4,0.1982364782,0.02304666,0.24203393275
