"","Monkey","Week","SampleID","no.sites","no.syn.sites","no.ns.sites","mean","mean.syn","mean.ns","mutated.sites.no","mutated.sites"
"1","mm10",2,"mm10.2",1172,586,586,0.0147625443447586,0.00317439477133106,0.0112506888634812,8,"309,359,379,380,412,424,433,680"
"2","mm10",3,"mm10.3",1172,586,586,0.0125222172860972,0.00261214140802048,0.00928541915767918,7,"309,359,379,380,412,424,433"
"3","mm10",6,"mm10.6",1172,586,586,0.0226156015554937,0.00529536893924915,0.0164156020245734,6,"359,379,380,412,424,433"
"4","mm10",8,"mm10.8",1172,586,586,0.0147483839287428,0.00361779783208191,0.0104893775143345,7,"309,359,379,380,412,424,433"
"5","mm10",10,"mm10.10",1172,586,586,0.0126012317081566,0.00309396785221843,0.00894496781058021,7,"309,359,379,380,412,424,433"
"6","mm156",3,"mm156.3",624,312,312,0.00910920608709527,0.00182270514807692,0.00692041799730769,1,"753"
"7","mm156",7,"mm156.7",1172,586,586,0.00958723864260377,0.00223765913037543,0.0069024734837884,1,"753"
"8","mm156",11,"mm156.11",1172,586,586,0.0107221399715863,0.00247184516757679,0.00772869407769625,1,"753"
"9","mm174",2,"mm174.2",1172,586,586,0.0106011798895755,0.00254226447013652,0.00761764484573379,6,"205,394,412,424,552,605"
"10","mm174",3,"mm174.3",1172,586,586,0.0100399732799344,0.00295276199609215,0.00672423525735495,5,"205,394,412,424,552"
"11","mm174",7,"mm174.7",1172,586,586,0.00899700610614941,0.00189881955836177,0.00675554016953925,1,"552"
"12","mm174",13,"mm174.13",1172,586,586,0.00931147499834656,0.00204612415392491,0.00691602615052901,3,"296,387,753"
"13","mm198",2,"mm198.2",1172,586,586,0.0188757920366632,0.00606952381245734,0.0122800585711604,3,"652,675,678"
"14","mm198",3,"mm198.3",1172,586,586,0.00872374970854923,0.00203246688737201,0.00631732630523891,10,"380,394,409,412,418,427,627,652,675,678"
"15","mm198",4,"mm198.4",1172,586,586,0.0104116633565626,0.00214064176916382,0.00787115015233788,10,"380,394,409,412,418,427,627,652,675,678"
"16","mm198",6,"mm198.6",1172,586,586,0.0137759127970295,0.00415443190716724,0.00921495738600683,10,"380,394,409,412,424,427,627,652,675,678"
"17","mm198",8,"mm198.8",1172,586,586,0.0130259971915904,0.0047001473605802,0.00795949786011945,1,"753"
"18","mm198",10,"mm198.10",1172,586,586,0.0132716789055692,0.00504670785273038,0.00787218809694539,0,NA
