"","monkey","RNA.pLN","RNA.tLN","RNA.Lung"
"1","16314",13857658.34,41727365.961,4658945.5487
"2","20615",209057281.3,28828430.8505,567972.19852
"3","30816",12331444.69,13017381.6536667,NA
"4","3116",28324021.21,329661122.895,13186.55865
"5","31316",25655606.25,5588359.8975,49929.970095
"6","3216",129406527.8,36445385.808,44935.91309
"7","3316",92100775.24,47911290,NA
"8","3516",3763036.058,19284771.095,533642.6037
"9","3616",13750750,19188847.06,NA
"10","3816",25713835.94,450409973.3,817675.3668
"11","4016",1357765.833,284326525,25222941.41
